id,nama,desk,foto
PC READY,PC READY,PC rakitan siap pakai,img\kategori\KATEGORI PC1.webp
LAPTOP,LAPTOP,Bisnis sekolah dan gaming,img\kategori\KATEGORI LAPTOP1.jpg
PROCESSOR,PROCESSOR,CPU Intel & AMD,img\kategori\PROCESSOR.jfif
MOTHERBOARD,MOTHERBOARD,,img\kategori\MOTHERBOARD LOGO.jfif
CASING,CASING,,img\kategori\CASING LOGO.jfif
RAM,RAM,,img\kategori\RAM PC.jfif
POWER SUPPLY,POWER SUPPLY,,img\kategori\PSU LOGO.jfif
HARDDISK,HARDDISK,,img\kategori\HDD LOGO 1.jfif
SSD,SSD,penyimpanan berkecepatan tinggi,img\kategori\ssd.jpg
PRINTER,PRINTER,kebutuhan rumah maupun kantor,img\kategori\printer.jpg
SMARTPHONE,SMARTPHONE,,img\kategori\SMARTPHONE.jfif
CCTV,CCTV,Kamera pengawas,img\kategori\KATEGORI CCTV1.jpg
AKSESORIES ,AKSESORIES,,img\kategori\AKSESORIES LOGO.jfif
BATERAI UPS,BATERAI UPS,,img\kategori\BATERAI UPS.jfif
SPAREPART LAPTOP,SPAREPART LAPTOP,,img\kategori\SPAREPART LAPTOP.jpg
SPAREPART CCTV,SPAREPART CCTV,,img\kategori\SPAREPART CCTV.jpg
SERVICE,SERVICE,SERVICE,img\kategori\service logo.png
