id,nama,harga,brand,foto,spek,harga_promo
P01,CCTV EZVIZ INDOOR C6N  2MP,389000,CCTV EZVIZ,img\produk\C6N 2MP.webp,kamera cctv indoor BERGARANSI 1 TAHUN (belum include biaya pasang),375000
P02,CCTV EZVIZ INDOOR TY1 3MP,495000,CCTV EZVIZ,img\produk\TY1 3MP.jfif,kamera cctv indoor BERGARANSI 1 TAHUN (belum include biaya pasang),460000
P03,CCTV EZVIZ INDOOR TY1 5MP,665000,CCTV EZVIZ,img\produk\TY1 5MP.jfif,kamera cctv indoor BERGARANSI 1 TAHUN (belum include biaya pasang),618000
P04,CCTV EZVIZ INDOOR H1C 2MP,349000,CCTV EZVIZ,img\produk\H1C 2MP.jfif,kamera cctv indoor BERGARANSI 1 TAHUN (belum include biaya pasang),
P05,CCTV EZVIZ INDOOR H6C 2MP,395000,CCTV EZVIZ,img\produk\H6C 2MP.jfif,kamera cctv indoor BERGARANSI 1 TAHUN (belum include biaya pasang),
P06,CCTV EZVIZ INDOOR H6C 3MP,596000,CCTV EZVIZ,img\produk\H6C 3MP.jfif,kamera cctv indoor BERGARANSI 1 TAHUN (belum include biaya pasang),
P07,CCTV EZVIZ INDOOR H7C 4MP,810000,CCTV EZVIZ,img\produk\H7C 4MP.jfif,kamera cctv indoor BERGARANSI 1 TAHUN (belum include biaya pasang),
P08,CCTV EZVIZ OUTDOOR H3C 2MP,590000,CCTV EZVIZ,img\produk\H3C 2MP.jfif,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),
P09,CCTV EZVIZ OUTDOOR H3C 4MP,799000,CCTV EZVIZ,img\produk\H3C 4MP.jfif,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),
P10,CCTV EZVIZ OUTDOOR H8C 2MP,629000,CCTV EZVIZ,img\produk\H8C 2MP.webp,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),
P11,CCTV EZVIZ OUTDOOR H8C 3MP,689000,CCTV EZVIZ,img\produk\H8C 2MP.webp,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),
P12,CCTV EZVIZ OUTDOOR H8C 4MP,789000,CCTV EZVIZ,img\produk\H8C 2MP.webp,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),
P13,CCTV EZVIZ OUTDOOR H9C 3MP,999000,CCTV EZVIZ,img\produk\H9C 3MP.jfif,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),
P14,CCTV EZVIZ OUTDOOR H9C 5MP,1339000,CCTV EZVIZ,img\produk\H9C 3MP.jfif,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),
P15,AXIOO HYPE7 R7,7249000,LAPTOP AXIOO,img\produk\AXIOO HYPE 7 R7.png,"AMD X7-2 Ryzen 7 5825U 8GB / 16GB 512GB W11 14"" FHD IPS",
P16,SSD VGEN SATA PLATINUM 128GB ,568000,SSD VGEN PLATINUM,img\\produk\sata-3-platinum-128gb-rev-1.png,,
P17,SSD VGEN SATA PLATINUM 256GB,1121000,SSD VGEN PLATINUM,img\\produk\sata-3-platinum-256gb-rev-1.png,,
P18,SSD VGEN SATA PLATINUM 512GB,2048000,SSD VGEN PLATINUM,img\\produk\sata-3-platinum-512gb-rev-1.png,,
P19,SSD VGEN SATA PLATINUM 1TB,4424000,SSD VGEN PLATINUM,img\\produk\sata-3-platinum-1tb-rev-1.png,,
P20,SSD VGEN SATA PLATINUM 2TB,7418000,SSD VGEN PLATINUM,img\\produk\sata-3-platinum-2tb-rev-1.png,,
P21,SSD VGEN SATA PLATINUM 4TB,10288000,SSD VGEN PLATINUM,img\\produk\sata-3-platinum-front-rev-1.png,,
P22,SSD VGEN SATA RESCUE 128GB,398000,SSD VGEN RESCUE,img\\produk\sata-3-rescue-128gb-rev-1.png,,
P23,SSD VGEN SATA RESCUE 256GB,668000,SSD VGEN RESCUE,img\\produk\sata-3-rescue-256gb-rev-1.png,,
P24,SSD VGEN SATA RESCUE 512GB,1160000,SSD VGEN RESCUE,img\\produk\sata-3-rescue-512gb-rev-1.png,,
P25,SSD VGEN SATA RESCUE 1TB,2090000,SSD VGEN RESCUE,img\\produk\sata-3-rescue-1tb-rev-1.png,,
P26,SSD VGEN PORTABLE 128GB,748000,SSD VGEN PORTABLE,img\\produk\SSD PORTABLE 128GB.webp,,
P27,SSD VGEN PORTABLE 256GB,1288000,SSD VGEN PORTABLE,img\\produk\256GB.jfif,,
P28,SSD VGEN PORTABLE 512GB,2343000,SSD VGEN PORTABLE,img\\produk\PSSD-2.png,,
